"Averaging.Time","Stack.Height.meters","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X120","X140","X160","X180","X200","X250","X300","X350","X400","X500","X600","X700","X800","X900","X1000","X1500","X2500","X5000","X7500","X10000"
"monthly","32","70","68","64","61","56","51","46","41","38","32","17","13","11","10","9","7","6","5","4","3","2","2","2","1","1","1","1","0","0","0"
"monthly","33","66","64","61","57","53","48","44","39","36","31","20","12","11","9","8","7","5","4","4","3","2","2","1","1","1","1","1","0","0","0"
"monthly","34","61","60","57","54","50","46","41","37","34","30","22","12","10","9","8","6","5","4","4","3","2","2","1","1","1","1","1","0","0","0"
"monthly","35","58","57","54","50","47","44","39","36","33","30","22","12","10","9","8","6","5","4","3","3","2","2","1","1","1","1","1","0","0","0"
"monthly","36","54","53","51","47","45","41","38","34","31","29","22","12","10","9","8","6","5","4","3","2","2","2","1","1","1","1","1","0","0","0"
"monthly","37","51","50","48","45","42","39","36","33","30","28","22","12","9","8","8","6","5","4","3","2","2","2","1","1","1","1","0","0","0","0"
"monthly","38","48","47","46","43","40","37","34","32","29","27","21","14","9","8","7","6","5","4","3","2","2","1","1","1","1","1","0","0","0","0"
"monthly","39","45","45","43","41","38","36","33","30","28","26","21","15","9","8","7","6","4","4","3","2","2","1","1","1","1","1","0","0","0","0"
"monthly","40","43","42","41","39","36","34","32","29","27","24","20","15","9","7","7","5","4","4","3","2","2","1","1","1","1","1","0","0","0","0"
"monthly","41","41","40","39","37","35","32","30","28","26","24","20","15","9","7","7","5","4","4","3","2","2","1","1","1","1","1","0","0","0","0"
"monthly","42","39","38","37","35","33","31","29","27","25","23","20","15","9","7","6","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0"
"monthly","43","37","36","35","34","32","30","28","26","24","22","19","16","10","7","6","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0"
"monthly","44","35","35","34","32","30","28","27","25","23","21","18","15","11","7","6","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0"
"monthly","45","33","33","32","31","29","27","25","24","22","20","18","15","12","7","6","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0"
"monthly","46","32","31","31","30","28","26","25","23","21","20","17","15","12","7","6","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0"
"monthly","47","30","30","29","28","27","25","24","22","21","19","17","14","12","7","6","4","4","3","3","2","2","1","1","1","1","1","0","0","0","0"
"monthly","48","29","29","28","27","26","24","23","21","20","18","16","14","12","8","5","4","4","3","3","2","2","1","1","1","1","1","0","0","0","0"
"monthly","49","28","27","27","26","25","23","22","20","19","18","16","14","12","8","5","4","4","3","3","2","1","1","1","1","1","1","0","0","0","0"
"monthly","50","26","26","26","25","24","23","21","20","18","17","15","13","12","9","5","4","3","3","3","2","1","1","1","1","1","0","0","0","0","0"
"monthly","51","25","25","25","24","23","22","20","19","18","17","15","13","11","9","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","52","24","24","24","23","22","21","20","18","17","16","14","13","11","9","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","53","23","23","23","22","21","20","19","18","17","16","14","12","11","9","6","4","3","3","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","54","22","22","22","21","21","20","19","17","16","15","13","12","10","9","6","4","3","3","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","55","21","21","21","21","20","19","18","17","16","15","13","12","10","9","7","4","3","3","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","56","21","21","20","20","19","18","17","16","15","14","13","11","10","9","7","4","3","3","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","57","20","20","20","19","19","18","17","16","15","14","12","11","10","9","7","4","3","3","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","58","19","19","19","19","18","17","16","15","14","14","12","11","10","8","7","3","3","2","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","59","18","18","18","18","17","17","16","15","14","13","12","10","9","8","7","3","3","2","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","60","18","18","18","17","17","16","15","15","14","13","11","10","9","8","7","3","3","2","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","61","17","17","17","17","16","16","15","14","13","12","11","10","9","8","7","3","3","2","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","62","17","17","16","16","16","15","15","14","13","12","11","10","9","8","7","3","3","2","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","63","16","16","16","16","15","15","14","13","13","12","11","10","9","8","7","3","3","2","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","64","15","15","15","15","15","14","14","13","12","12","10","9","8","8","7","3","3","2","2","2","1","1","1","1","1","0","0","0","0","0"
"monthly","65","15","15","15","15","14","14","13","13","12","11","10","9","8","7","7","3","3","2","2","1","1","1","1","1","1","0","0","0","0","0"
